,title,category,composer,year,epoch,country,stars
58,"Water Music, HWV 348-350",Unsorted Orchestral,George Frideric Handel,1717,Baroque,Germany,539
59,"Violin Concerto No. 1 in A Minor, BWV 1041",Violin Concerto,Johann Sebastian Bach,1723,Baroque,Germany,534
60,"Double Violin Concerto in D Minor, BWV 1043",Violin Concerto,Johann Sebastian Bach,1723,Baroque,Germany,529
61,"Violin Concerto in D Major, Op. 77",Violin Concerto,Johannes Brahms,1878,Romantic,Germany,526
62,La traviata,Opera,Giuseppe Verdi,1853,Romantic,Italy,513
63,Carmina Burana,Voice and Orchestra,Carl Orff,1936,20th Century,Germany,508
64,"Violin Sonata No. 9 (Kreutzer), Op. 47",Violin Sonata,Ludwig van Beethoven,1804,Early Romantic,Germany,507
65,Symphony No. 2 in C Minor (Resurrection),Symphony,Gustav Mahler,1894,Late Romantic,Austria,503
66,"Symphonie fantastique, H 48",Symphony,Hector Berlioz,1830,Romantic,France,498
67,Adagio for Strings,Unsorted Orchestral,Samuel Barber,1936,20th Century,United States,498
68,"Der Ring des Nibelungen (The Ring of the Nibelung), WWV 86",Opera,Richard Wagner,1874,Romantic,Germany,466
69,"Violin Concerto No. 5 in A Major (The Turkish), K. 219",Violin Concerto,Wolfgang Amadeus Mozart,1775,Classical,Austria,458
70,"Romeo and Juliet, Op. 64",Ballet,Sergei Prokofiev,1935,20th Century,Russia,451
71,"Symphony No. 4 in E Minor, Op. 98",Symphony,Johannes Brahms,1884,Romantic,Germany,449
72,"Ballade No. 4 in F Minor, Op. 52",Piano Sonata,Frédéric Chopin,1842,Romantic,Poland,444
73,"Große Fuge, Op. 133",String Quartet,Ludwig van Beethoven,1825,Early Romantic,Germany,443
74,"Piano Concerto No. 20 in D Minor, K. 466",Piano Concerto,Wolfgang Amadeus Mozart,1785,Classical,Austria,442
75,"Peer Gynt, Op. 46, 55",Unsorted Orchestral,Edvard Grieg,1875,Romantic,Norway,438
