,title,category,composer,year,epoch,country,stars
254,"Symphony No. 9 in D Minor, WAB 109",Symphony,Anton Bruckner,1896,Romantic,Austria,17
255,"Totentanz, S. 126",Piano Concerto,Franz Liszt,1849,Romantic,Hungary,17
256,"Symphony No. 7 in C Major, Op. 105",Symphony,Jean Sibelius,1924,Late Romantic,Finland,17
257,Jeux d'eau,Piano Sonata,Maurice Ravel,1901,Late Romantic,France,17
258,"Études-Tableaux, Op. 33",Piano Sonata,Sergei Rachmaninoff,1911,Late Romantic,Russia,17
259,"Violin Concerto No. 3 in G Major, K. 216",Violin Concerto,Wolfgang Amadeus Mozart,1775,Classical,Austria,16
260,"Trio élégiaque No. 2 in D Minor, Op. 9",Piano Trio,Sergei Rachmaninoff,1893,Late Romantic,Russia,16
261,"String Quartet in G Minor, L. 85",String Quartet,Claude Debussy,1893,Late Romantic,France,16
262,"The Creation (Die Schöpfung), Hob. XXI:2",Choral orchestral,Joseph Haydn,1798,Classical,Austria,16
263,"Trumpet Concerto in E-flat Major, Hob.: VIIe/1",Wind Concerto,Joseph Haydn,1796,Classical,Austria,16
264,"Symphony No. 7 in E Major (Lyric), WAB 107",Symphony,Anton Bruckner,1883,Romantic,Austria,16
265,Miroirs,Piano Sonata,Maurice Ravel,1905,Late Romantic,France,16
266,"Vienna Blood Waltz (Wiener Blut), Op. 354",Unsorted Orchestral,Johann Strauss II,1873,Romantic,Austria,16
267,Nabucco,Opera,Giuseppe Verdi,1841,Romantic,Italy,16
268,"Siegfried Idyll, WWV 103",Symphonic Poem,Richard Wagner,1870,Romantic,Germany,16
269,Masquerade Suite,Unsorted Orchestral,Aram Khachaturian,1944,20th Century,Armenia,16
270,"Symphony No. 4 in B-flat Major, Op. 60",Symphony,Ludwig van Beethoven,1806,Early Romantic,Germany,16
271,"Arpeggione Sonata, D. 821",Cello Sonata,Franz Schubert,1824,Early Romantic,Austria,15
272,"Violin Concerto No. 1 in A Minor, Op. 77",Violin Concerto,Dmitri Shostakovich,1948,20th Century,Russia,15
273,"Voices of Spring (Frühlingsstimmen), Op. 410",Unsorted Orchestral,Johann Strauss II,1882,Romantic,Austria,15
274,Spiegel im Spiegel,Violin Sonata,Arvo Pärt,1978,Post-War,Estonia,15
275,La valse,Unsorted Orchestral,Maurice Ravel,1920,Late Romantic,France,15
276,Music for 18 Musicians,Unsorted Orchestral,Steve Reich,1976,Post-War,United States,15
277,"Ballade No. 3, Op. 47",Piano Sonata,Frédéric Chopin,1841,Romantic,Poland,15
278,Symphony No. 4 in G Major,Symphony,Gustav Mahler,1900,Late Romantic,Austria,15
279,"A German Requiem, To Words of the Holy Scriptures, Op. 45",Mass / Requiem,Johannes Brahms,1868,Romantic,Germany,14
280,Symphony No. 8 in E-flat Major (Symphony of a Thousand),Symphony,Gustav Mahler,1906,Late Romantic,Austria,14
281,"Violin Concerto No. 1, Op. 6",Violin Concerto,Niccolò Paganini,1818,Early Romantic,Italy,14
282,Piano Concerto in G Major,Piano Concerto,Maurice Ravel,1931,Late Romantic,France,14
283,"Piano Sonata No. 30 in E Major, Op. 109",Piano Sonata,Ludwig van Beethoven,1820,Early Romantic,Germany,14
284,"Violin Concerto No. 2 in B Minor, Op. 7",Violin Concerto,Niccolò Paganini,1826,Early Romantic,Italy,14
285,"Symphony No. 11 in G Minor (The Year 1905), Op. 103",Symphony,Dmitri Shostakovich,1957,20th Century,Russia,14
286,"Piano Sonata No. 11 in A Major, K. 331",Piano Sonata,Wolfgang Amadeus Mozart,1783,Classical,Austria,14
287,"Coriolan Overture, Op. 62",Unsorted Orchestral,Ludwig van Beethoven,1807,Early Romantic,Germany,14
288,"Piano Concerto No. 24 in C Minor, K. 491",Piano Concerto,Wolfgang Amadeus Mozart,1786,Classical,Austria,13
289,"Violin Sonata No. 5 (Spring), Op. 24",Violin Sonata,Ludwig van Beethoven,1801,Early Romantic,Germany,13
290,Pines of Rome (Pini di Roma),Symphonic Poem,Ottorino Respighi,1924,Late Romantic,Italy,13
291,"String Quartet No. 13 in B-flat Major, Op. 130",String Quartet,Ludwig van Beethoven,1825,Early Romantic,Germany,13
292,"Piano Concerto No. 2 in G Minor, Op. 22",Piano Concerto,Camille Saint-Saëns,1868,Romantic,France,13
293,"Stabat Mater, RV 621",Choral orchestral,Antonio Vivaldi,1712,Baroque,Italy,13
294,Six Pianos / Six Marimbas,Unsorted Chamber,Steve Reich,1986,Post-War,United States,13
295,"The Flying Dutchman (Der fliegende Holländer), WWV 63",Opera,Richard Wagner,1843,Romantic,Germany,13
296,Threnody to the Victims of Hiroshima,Unsorted Orchestral,Krzysztof Penderecki,1960,Post-War,Poland,13
297,L'Arlésienne,Unsorted Orchestral,Georges Bizet,1872,Romantic,France,13
298,"Ballade No. 2, Op. 38",Piano Sonata,Frédéric Chopin,1839,Romantic,Poland,13
299,"Cello Concerto No. 2, Op. 126",Cello Concerto,Dmitri Shostakovich,1966,20th Century,Russia,13
300,Turangalîla-Symphonie,Symphony,Olivier Messiaen,1948,20th Century,France,13
301,"Symphony No. 1 in C Major, Op. 21",Symphony,Ludwig van Beethoven,1800,Early Romantic,Germany,13
302,"Piano Sonata No. 21 in B-flat Major, D. 960",Piano Sonata,Franz Schubert,1828,Early Romantic,Austria,12
303,"Salut d'Amour, Op. 12",Violin Sonata,Edward Elgar,1888,Late Romantic,England,12
304,"Symphony No. 1, Op. 68",Symphony,Johannes Brahms,1876,Romantic,Germany,12
305,"Death and Transfiguration (Tod und Verklärung), Op. 24",Symphonic Poem,Richard Strauss,1889,Late Romantic,Germany,12
306,"Schwanengesang (Swan Song), D. 957",Lieder / Song,Franz Schubert,1828,Early Romantic,Austria,12
307,"Piano Sonata No. 31 in A-flat Major, Op. 110",Piano Sonata,Ludwig van Beethoven,1821,Early Romantic,Germany,12
308,"Four Last Songs (Vier letzte Lieder), TrV 296",Lieder / Song,Richard Strauss,1948,Late Romantic,Germany,12
309,"Symphonic Dances, Op. 45",Unsorted Orchestral,Sergei Rachmaninoff,1940,Late Romantic,Russia,12
310,"Cello Sonata in G Minor, Op. 19",Cello Sonata,Sergei Rachmaninoff,1901,Late Romantic,Russia,12
311,Keyboard Sonatas,Piano Sonata,Domenico Scarlatti,-1,Baroque,Italy,12
312,"Capriccio Espagnol, Op. 34",Unsorted Orchestral,Nikolai Rimsky-Korsakov,1887,Romantic,Russia,12
313,"Consolations, S. 172",Piano Sonata,Franz Liszt,1850,Romantic,Hungary,12
314,El Amor Brujo,Ballet,Manuel de Falla,1915,20th Century,Spain,12
315,"Piano Concerto No. 1 in C Major, Op. 15",Piano Concerto,Ludwig van Beethoven,1797,Early Romantic,Germany,12
316,"Capriccio Italien, Op. 45",Unsorted Orchestral,Pyotr Ilyich Tchaikovsky,1880,Romantic,Russia,12
317,"Sonata for Two Pianos in D Major, K. 448",Piano duet / Piano four hands,Wolfgang Amadeus Mozart,1781,Classical,Austria,12
318,Nights in the Gardens of Spain (Noches en los jardines de España),Piano Concerto,Manuel de Falla,1915,20th Century,Spain,12
319,"The Seasons (Les Saisons), Op. 37a",Piano Sonata,Pyotr Ilyich Tchaikovsky,1876,Romantic,Russia,12
320,Symphony No. 7 (Song of the Night),Symphony,Gustav Mahler,1905,Late Romantic,Austria,12
321,Prince Igor,Opera,Alexander Borodin,1888,Romantic,Russia,11
322,Violin Sonata in A Major,Violin Sonata,César Franck,1886,Romantic,Belgium,11
323,"Peter and the Wolf, Op. 67",Unsorted Orchestral,Sergei Prokofiev,1936,20th Century,Russia,11
324,Rigoletto,Opera,Giuseppe Verdi,1851,Romantic,Italy,11
325,"Harpsichord conceto No. 1, BWV 1052",Harpsichord conceto,Johann Sebastian Bach,1738,Baroque,Germany,11
326,"Scottish Fantasy in E-flat Major, Op. 46",Violin Concerto,Max Bruch,1880,Romantic,Germany,11
327,Agnus Dei,Chant,Samuel Barber,1967,20th Century,United States,11
328,"Piano Concerto No. 2 in G Minor, Op. 16",Piano Concerto,Sergei Prokofiev,1913,20th Century,Russia,11
329,Bachianas Brasileiras,Voice and Orchestra,Heitor Villa-Lobos,1945,20th Century,Brazil,11
330,"Three Concert Études (Trois études de concert), S. 144",Piano Sonata,Franz Liszt,1849,Romantic,Hungary,11
331,"Ten Preludes, Op. 23",Piano Sonata,Sergei Rachmaninoff,1903,Late Romantic,Russia,11
332,"Dido and Aeneas, Z. 636",Opera,Henry Purcell,1688,Baroque,England,11
333,"Piano Sonata No. 26 in E-flat Major (Les Adieux), Op. 81a",Piano Sonata,Ludwig van Beethoven,1810,Early Romantic,Germany,11
334,Das Lied von der Erde (The Song of the Earth),Lieder / Song,Gustav Mahler,1909,Late Romantic,Austria,11
335,"Variations and Fugue in E-flat Major (Eroica Variations), Op. 35",Piano Sonata,Ludwig van Beethoven,1802,Early Romantic,Germany,11
336,Ma mère l'Oye,Unsorted Orchestral,Maurice Ravel,1911,Late Romantic,France,11
337,"Gretchen am Spinnrade, D. 118",Lieder / Song,Franz Schubert,1814,Early Romantic,Austria,11
338,"Piano Sonata No. 27 in E Minor, Op. 90",Piano Sonata,Ludwig van Beethoven,1814,Early Romantic,Germany,11
339,"Samson and Delilah, Op. 47",Opera,Camille Saint-Saëns,1877,Romantic,France,11
340,"Rondo in A Minor, K. 511",Piano Sonata,Wolfgang Amadeus Mozart,1787,Classical,Austria,11
341,"Symphony No. 1 in E Major, Op. 26",Symphony,Alexander Scriabin,1900,Late Romantic,Russia,11
342,"Piano Concerto No. 1 in D Minor, Op. 15",Piano Concerto,Johannes Brahms,1858,Romantic,Germany,10
343,"Music for Strings, Percussion and Celesta, Sz. 106",Unsorted Orchestral,Béla Bartók,1936,20th Century,Hungary,10
344,"Clarinet Quintet in A Major, K. 581",Clarinet Quintet,Wolfgang Amadeus Mozart,1789,Classical,Austria,10
345,"Piano Trio in B-flat Major (Archduke Trio), Op. 97",Piano Trio,Ludwig van Beethoven,1811,Early Romantic,Germany,10
346,Deo Gratias,Chant,Johannes Ockeghem,-1,Medieval-Renaissance,France,10
347,"Tales from the Vienna Woods (Geschichten aus dem Wienerwald), Op. 325",Unsorted Orchestral,Johann Strauss II,1868,Romantic,Austria,10
348,"Polonaises, Op. 40",Piano Sonata,Frédéric Chopin,1838,Romantic,Poland,10
349,"Cello Sonatas, RV 39-47",Unsorted Chamber,Antonio Vivaldi,1730,Baroque,Italy,10
350,"Piano Concerto No. 25 in C Major, K. 503",Piano Concerto,Wolfgang Amadeus Mozart,1786,Classical,Austria,10
351,"Tragic Overture, Op. 81",Unsorted Orchestral,Johannes Brahms,1880,Romantic,Germany,10
352,"Piano Sonata No. 28 in A Major, Op. 101",Piano Sonata,Ludwig van Beethoven,1816,Early Romantic,Germany,10
353,"Concerto for Flute, Harp, and Orchestra in C Major, K. 299/297c",Double Concerto,Wolfgang Amadeus Mozart,1778,Classical,Austria,10
354,"Andante spianato et grande polonaise brillante in E-flat Major, Op. 22",Piano Sonata,Frédéric Chopin,1834,Romantic,Poland,10
355,"Les préludes, S. 97",Symphonic Poem,Franz Liszt,1854,Romantic,Hungary,10
356,"A Midsummer Night's Dream, Op. 61",Unsorted Orchestral,Felix Mendelssohn,1842,Romantic,Germany,10
357,The Young Person's Guide to the Orchestra,Unsorted Orchestral,Benjamin Britten,1945,20th Century,England,10
358,"Toccata and Fugue in D Minor (Dorian), BWV 538",Organ,Johann Sebastian Bach,-1,Baroque,Germany,10
359,"Symphony No. 4 in D Minor, Op. 120",Symphony,Robert Schumann,1841,Romantic,Germany,10
360,Le tombeau de Couperin,Piano Sonata,Maurice Ravel,1917,Late Romantic,France,10
361,"Cello Concerto No. 1 in A Minor, Op. 33",Cello Concerto,Camille Saint-Saëns,1872,Romantic,France,10
362,"Symphony No. 2 in D Major, Op. 36",Symphony,Ludwig van Beethoven,1802,Early Romantic,Germany,10
363,"Flute Concerto, RV 439",Wind Concerto,Antonio Vivaldi,1728,Baroque,Italy,10
364,"Piano Sonata No. 4 in F-sharp Major, Op. 30",Piano Sonata,Alexander Scriabin,1903,Late Romantic,Russia,10
365,"Rienzi, WWV 49",Opera,Richard Wagner,1840,Romantic,Germany,10
366,"Piano Concerto No. 1 in F-sharp Minor, Op. 1",Piano Concerto,Sergei Rachmaninoff,1892,Late Romantic,Russia,10
367,"Symphony No. 1 in G Minor (Winter Daydreams), Op. 13",Symphony,Pyotr Ilyich Tchaikovsky,1866,Romantic,Russia,10
368,"Piano Concerto in F-sharp Minor, Op. 20",Piano Concerto,Alexander Scriabin,1896,Late Romantic,Russia,10
369,"Fantasia for piano four-hands in F Minor, 940 (Op. posth. 103)",Piano duet / Piano four hands,Franz Schubert,1828,Early Romantic,Austria,9
370,"The Hebrides Overture (Fingal's Cave), Op. 26",Unsorted Orchestral,Felix Mendelssohn,1830,Romantic,Germany,9
371,"Violin Concerto No. 1 in D Major, Op. 19",Violin Concerto,Sergei Prokofiev,1917,20th Century,Russia,9
372,"String Quartet No. 13 in A Minor (Rosamunde Quartet), D. 804",String Quartet,Franz Schubert,1824,Early Romantic,Austria,9
373,Atmosphères,Unsorted Orchestral,György Ligeti,1961,Post-War,Hungary,9
374,"Octet in E-flat Major, Op. 20",Octet,Felix Mendelssohn,1825,Romantic,Germany,9
375,Tabula Rasa,Unsorted Orchestral,Arvo Pärt,1977,Post-War,Estonia,9
376,"Vespro della Beata Vergine, SV 206",Choral orchestral,Claudio Monteverdi,-1,Medieval-Renaissance,Italy,9
377,"Holberg Suite (From Holberg's Time), Op. 40",Unsorted Orchestral,Edvard Grieg,1884,Romantic,Norway,9
378,"Great Fantasia and Fugue in G Minor, BWV 542",Organ,Johann Sebastian Bach,-1,Baroque,Germany,9
379,"Sicilienne, Op. 78",Cello Sonata,Gabriel Fauré,1893,Late Romantic,France,9
380,18 Nocturnes,Piano Sonata,John Field,1837,Early Romantic,Ireland,9
381,"Triple Concerto in C Major, Op. 56",Triple Concerto,Ludwig van Beethoven,1803,Early Romantic,Germany,9
382,"Fantasie in C major (Wanderer Fantasy), D. 760",Piano Sonata,Franz Schubert,1822,Early Romantic,Austria,9
383,"St John Passion (Passio secundum Johannem), BWV 245",Choral orchestral,Johann Sebastian Bach,1724,Baroque,Germany,9
384,"Études, L. 136",Piano Sonata,Claude Debussy,1915,Late Romantic,France,9
385,"First Suite in E-flat for Military Band, Op. 28 No. 1",Unsorted Orchestral,Gustav Holst,1909,Late Romantic,England,9
386,"Academic Festival Overture (Akademische Festouvertüre), Op. 80",Unsorted Orchestral,Johannes Brahms,1880,Romantic,Germany,9
387,"Great Mass in C Minor, K. 427/417a",Mass / Requiem,Wolfgang Amadeus Mozart,1783,Classical,Austria,9
388,Rückert-Lieder,Lieder / Song,Gustav Mahler,1902,Late Romantic,Austria,9
389,"Symphony-Concerto in E Minor, Op. 125",Cello Concerto,Sergei Prokofiev,1952,20th Century,Russia,9
390,Kindertotenlieder (Songs on the Death of Children),Lieder / Song,Gustav Mahler,1904,Late Romantic,Austria,9
391,"3 Intermezzi, Op. 117",Piano Sonata,Johannes Brahms,1892,Romantic,Germany,9
392,Tzigane,Violin Concerto,Maurice Ravel,1924,Late Romantic,France,9
393,"Piano Sonata No. 2 in G-sharp Minor (Sonata-Fantasy), Op. 19",Piano Sonata,Alexander Scriabin,1898,Late Romantic,Russia,9
394,Rodeo,Ballet,Aaron Copland,1942,20th Century,United States,9
395,"12 Etudes, Op. 8",Piano Sonata,Alexander Scriabin,1894,Late Romantic,Russia,9
396,Koyaanisqatsi,Unsorted Orchestral,Philip Glass,1982,Post-War,United States,9
397,Lyric Pieces,Piano Sonata,Edvard Grieg,1901,Romantic,Norway,9
398,Violin Concerto,Violin Concerto,Alban Berg,1935,20th Century,Austria,8
399,"Te Deum in D Major, H. 146",Choral orchestral,Marc-Antoine Charpentier,1689,Baroque,France,8
400,"Violin Concerto, Op. 14",Violin Concerto,Samuel Barber,1939,20th Century,United States,8
401,The Unanswered Question,Unsorted Orchestral,Charles Ives,1908,20th Century,United States,8
402,"Variations on a Theme of Paganini, Op. 35",Piano Sonata,Johannes Brahms,1863,Romantic,Germany,8
403,Lux Aeterna,Chant,György Ligeti,1966,Post-War,Hungary,8
404,"Piano Concerto, Op. 42",Piano Concerto,Arnold Schoenberg,1942,20th Century,Austria,8
405,"Variations on a Rococo Theme, Op. 33",Cello Concerto,Pyotr Ilyich Tchaikovsky,1877,Romantic,Russia,8
406,Piano Quintet,Piano Quintet,Alfred Schnittke,1976,Post-War,Russia,8
407,"Introduction and Allegro (Introduction et allegro pour harpe, flûte, clarinette et quatuor)",Septet,Maurice Ravel,1905,Late Romantic,France,8
408,"Clarinet Sonata in E-flat Major, Op. 120 No. 2",Clarinet Sonata,Johannes Brahms,1894,Romantic,Germany,8
409,"Piano Trio in D Major (Ghost), Op. 70 No. 1",Piano Trio,Ludwig van Beethoven,1808,Early Romantic,Germany,8
410,"Christmas Oratorio (Weihnachts-Oratorium), BWV 248",Choral orchestral,Johann Sebastian Bach,1734,Baroque,Germany,8
411,"Giulio Cesare in Egitto (Giulio Cesare), HWV 17",Opera,George Frideric Handel,1724,Baroque,Germany,8
412,Symphony No. 2 in B Minor,Symphony,Alexander Borodin,1876,Romantic,Russia,8
413,Mazurkas,Piano Sonata,Frédéric Chopin,1849,Romantic,Poland,8
414,"Dichterliebe, Op. 48",Lieder / Song,Robert Schumann,1840,Romantic,Germany,8
415,"Violin Concerto No. 2, Sz. 112",Violin Concerto,Béla Bartók,1938,20th Century,Hungary,8
416,"Piano Concerto No. 1 in G Minor, Op. 25",Piano Concerto,Felix Mendelssohn,1831,Romantic,Germany,8
417,"13 Preludes, Op. 32",Piano Sonata,Sergei Rachmaninoff,1910,Late Romantic,Russia,8
418,"12 Concerti grossi, Op. 6",Unsorted Orchestral,Arcangelo Corelli,1712,Baroque,Italy,8
419,"Lachrimae, or Seaven Teares",Unsorted Chamber,John Dowland,-1,Medieval-Renaissance,England,8
420,Trois morceaux en forme de poire (Three Pieces in the Form of a Pear),Piano duet / Piano four hands,Erik Satie,1903,Late Romantic,France,8
421,"Violin Concerto No. 4 in D Minor, MS 60",Violin Concerto,Niccolò Paganini,1829,Early Romantic,Italy,8
422,"Piano Sonata No. 18 in G Major (Fantasie), D. 894",Piano Sonata,Franz Schubert,1826,Early Romantic,Austria,8
423,La forza del destino (The Power of Fate),Opera,Giuseppe Verdi,1862,Romantic,Italy,8
424,Gayane,Ballet,Aram Khachaturian,1942,20th Century,Armenia,8
425,"Vers la flamme (Toward the flame), Op. 72",Piano Sonata,Alexander Scriabin,1914,Late Romantic,Russia,8
426,"Morceaux de fantaisie, Op. 3",Piano Sonata,Sergei Rachmaninoff,1892,Late Romantic,Russia,8
427,"Die Forelle (The Trout), D. 550",Lieder / Song,Franz Schubert,1817,Early Romantic,Austria,8
428,Requiem,Mass / Requiem,György Ligeti,1965,Post-War,Hungary,8
429,"Serenade for Strings in E Minor, Op. 20",Unsorted Orchestral,Edward Elgar,1892,Late Romantic,England,8
430,"Symphony No. 9 in E-flat Major, Op. 70",Symphony,Dmitri Shostakovich,1945,20th Century,Russia,8
431,"Cello Concerto in A Minor, Op. 129",Cello Concerto,Robert Schumann,1850,Romantic,Germany,7
432,Piano Trio in A Minor,Piano Trio,Maurice Ravel,1914,Late Romantic,France,7
433,"Six Partitas (Clavier-Übung I), BWV 825-830",Piano Sonata,Johann Sebastian Bach,1730,Baroque,Germany,7
434,"Symphony No. 39 in E-flat Major, K. 543",Symphony,Wolfgang Amadeus Mozart,1788,Classical,Austria,7
435,"Concerti grossi, Op. 6 (Twelve Grand Concertos), HWV 319–330",Unsorted Orchestral,George Frideric Handel,1739,Baroque,Germany,7
436,Douce Dame Jolie,Lieder / Song,Guillaume de Machaut,-1,Medieval-Renaissance,France,7
437,"Piano Trio No. 2 in E Minor, Op. 67",Piano Trio,Dmitri Shostakovich,1944,20th Century,Russia,7
438,"Jesu, meine Freude, BWV 227",Choral orchestral,Johann Sebastian Bach,1727,Baroque,Germany,7
439,"Cello Sonata in A Minor, Op. 36",Cello Sonata,Edvard Grieg,1883,Romantic,Norway,7
440,Metamorphosen,Unsorted Orchestral,Richard Strauss,1945,Late Romantic,Germany,7
441,"String Quartet No. 16 in F Major, Op. 135",String Quartet,Ludwig van Beethoven,1826,Early Romantic,Germany,7
442,"Diabelli Variations, Op. 120",Piano Sonata,Ludwig van Beethoven,1823,Early Romantic,Germany,7
443,The Sorcerer's Apprentice (L'apprenti sorcier),Symphonic Poem,Paul Dukas,1897,Late Romantic,France,7
444,"Musica notturna delle strade di Madrid, G. 324",String Quintet,Luigi Boccherini,1780,Classical,Italy,7
445,Requiem in C Minor,Mass / Requiem,Luigi Cherubini,1816,Early Romantic,Italy,7
446,Missa Papae Marcelli,Mass / Requiem,Giovanni Pierluigi da Palestrina,-1,Medieval-Renaissance,Italy,7
447,Violin Concerto in D Minor,Violin Concerto,Robert Schumann,1850,Romantic,Germany,7
448,Symphony in D Minor,Symphony,César Franck,1888,Romantic,Belgium,7
449,"Don Juan, Op. 20",Symphonic Poem,Richard Strauss,1888,Late Romantic,Germany,7
450,In the Steppes of Central Asia,Symphonic Poem,Alexander Borodin,1880,Romantic,Russia,7
451,"Islamey, Oriental Fantasy, Op. 18",Piano Sonata,Mily Balakirev,1869,Romantic,Russia,7
452,"Roses From the South (Rosen aus dem Süden), Op. 388",Unsorted Orchestral,Johann Strauss II,1880,Romantic,Austria,7
453,"Flute Sonata, FP 164",Flute Sonata,Francis Poulenc,1957,20th Century,France,7
454,"Symphony No. 3 in E-flat Major (Rhenish), Op. 97",Symphony,Robert Schumann,1850,Romantic,Germany,7
455,"Faust Symphony, S. 108",Symphony,Franz Liszt,1854,Romantic,Hungary,7
456,Lakmé,Opera,Léo Delibes,1882,Romantic,France,7
457,"The Miraculous Mandarin, Sz. 73 (BB 82)",Ballet,Béla Bartók,1924,20th Century,Hungary,7
458,"Im Frühling (In Spring), D. 882",Lieder / Song,Franz Schubert,1826,Early Romantic,Austria,7
459,West Side Story,Unsorted Orchestral,Leonard Bernstein,1957,20th Century,United States,7
460,O Magnum Mysterium,Chant,Giovanni Pierluigi da Palestrina,-1,Medieval-Renaissance,Italy,7
461,5 Poèmes de Baudelaire,Lieder / Song,Claude Debussy,1889,Late Romantic,France,7
462,"Lute Works, BWV 995-1000 & BWV 1006a",String solo,Johann Sebastian Bach,-1,Baroque,Germany,7
463,"Romanian Folk Dances, Sz. 56, BB 68",Piano Sonata,Béla Bartók,1915,20th Century,Hungary,7
464,"Präludium und Fuge über den Namen BACH, S. 260",Organ,Franz Liszt,1855,Romantic,Hungary,7
465,Piano Concerto,Piano Concerto,György Ligeti,1988,Post-War,Hungary,7
466,"Estampes (Prints), L. 100",Piano Sonata,Claude Debussy,1903,Late Romantic,France,7
467,"Scythian Suite, Op. 20",Unsorted Orchestral,Sergei Prokofiev,1915,20th Century,Russia,7
468,"Piano Sonata No. 7 (White Mass), Op. 64",Piano Sonata,Alexander Scriabin,1911,Late Romantic,Russia,7
469,"Piano Concerto No. 1 in E-flat Major, S. 124",Piano Concerto,Franz Liszt,1849,Romantic,Hungary,7
470,"Piano Concerto No. 2 in B-flat Major, Op. 19",Piano Concerto,Ludwig van Beethoven,1789,Early Romantic,Germany,7
471,"String Quintet No. 4 in G Minor, K. 516",String Quintet,Wolfgang Amadeus Mozart,1787,Classical,Austria,7
472,"Clarinet Sonata in E-flat Major, Op. 167",Clarinet Sonata,Camille Saint-Saëns,1921,Romantic,France,7
473,"Piano Sonata No. 1 in F Minor, Op. 2 No. 1",Piano Sonata,Ludwig van Beethoven,1795,Early Romantic,Germany,7
474,"Symphony No. 5 in B-flat Major, Op. 100",Symphony,Sergei Prokofiev,1944,20th Century,Russia,7
475,"Symphony No. 1 in D Major (Classical Symphony), Op. 25",Symphony,Sergei Prokofiev,1917,20th Century,Russia,7
476,"Symphony No. 82 in C Major (Bear Symphony), H. 1/82",Symphony,Joseph Haydn,1786,Classical,Austria,7
477,"Bluebeard's Castle, Sz. 48",Opera,Béla Bartók,1917,20th Century,Hungary,6
478,Variations on a Theme by Joseph Haydn,Unsorted Orchestral,Johannes Brahms,1873,Romantic,Germany,6
479,"Piano Trio in E-flat Major (Notturno), D. 897",Piano Trio,Franz Schubert,1827,Early Romantic,Austria,6
480,"French Suites, BWV 812–817",Piano Sonata,Johann Sebastian Bach,1725,Baroque,Germany,6
481,"Cello Concerto No. 9 in B-flat Major, G. 482",Cello Concerto,Luigi Boccherini,-1,Classical,Italy,6
482,"Clarinet Concerto No. 2 in E-flat Major, Op. 74",Wind Concerto,Carl Maria von Weber,1811,Early Romantic,Germany,6
483,"Élégie, Op. 24",Cello Sonata,Gabriel Fauré,1880,Late Romantic,France,6
484,"Piano Sonata No. 14 in C Minor, K. 457",Piano Sonata,Wolfgang Amadeus Mozart,1784,Classical,Austria,6
485,"Madrigals, Book 5 (Il Quinto Libro de Madrigali), SV 94–106",Voice and Orchestra,Claudio Monteverdi,-1,Medieval-Renaissance,Italy,6
486,"Piano Concerto No. 27 in B-flat Major, K. 595",Piano Concerto,Wolfgang Amadeus Mozart,1791,Classical,Austria,6
487,"Double Concerto in A Minor, Op. 102",Double Concerto,Johannes Brahms,1887,Romantic,Germany,6
488,"Violin Concerto No. 2 in G Minor, Op. 63",Violin Concerto,Sergei Prokofiev,1935,20th Century,Russia,6
489,"Eugene Onegin, Op. 24",Opera,Pyotr Ilyich Tchaikovsky,1878,Romantic,Russia,6
490,Trumpet Concerto in E Major,Wind Concerto,Johann Nepomuk Hummel,1803,Early Romantic,Austria,6
491,"Piano Trio in A Minor, Op. 50",Piano Trio,Pyotr Ilyich Tchaikovsky,1882,Romantic,Russia,6
492,Fanfare for the Common Man,Unsorted Orchestral,Aaron Copland,1942,20th Century,United States,6
493,"Piano Concerto No. 1 in C Minor, Op. 35",Piano Concerto,Dmitri Shostakovich,1933,20th Century,Russia,6
494,"String Quartet No. 1 in D Major, Op. 11",String Quartet,Pyotr Ilyich Tchaikovsky,1871,Romantic,Russia,6
495,Pulcinella,Ballet,Igor Stravinsky,1920,20th Century,Russia,6
496,"Fantasia in C Minor, K. 475",Piano Sonata,Wolfgang Amadeus Mozart,1785,Classical,Austria,6
497,"Piano Sonata No. 9 (Black Mass Sonata), Op. 68",Piano Sonata,Alexander Scriabin,1913,Late Romantic,Russia,6
498,"Sonata for Solo Cello, Op. 8",String solo,Zoltán Kodály,1915,20th Century,Hungary,6
499,Pièces froides,Piano Sonata,Erik Satie,1897,Late Romantic,France,6
500,"String Quartet No. 3 in F Major, Op. 73",String Quartet,Dmitri Shostakovich,1946,20th Century,Russia,6
501,Études,Piano Sonata,György Ligeti,2001,Post-War,Hungary,6
502,"Kinderszenen, Op. 15",Piano Sonata,Robert Schumann,1838,Romantic,Germany,6
503,"Horn Concerto No. 4 in E-flat Major, K. 495",Wind Concerto,Wolfgang Amadeus Mozart,1786,Classical,Austria,6
504,"Violin Sonatas, Op. 5",Violin Sonata,Arcangelo Corelli,1700,Baroque,Italy,6
505,"The Musical Offering (Musikalisches Opfer), BWV 1079",Piano Sonata,Johann Sebastian Bach,1747,Baroque,Germany,6
506,"Fidelio, Op. 72",Opera,Ludwig van Beethoven,1805,Early Romantic,Germany,6
507,Porgy and Bess,Opera,George Gershwin,1934,20th Century,United States,6
508,"The Water Goblin (Vodník), Op. 107 (B. 195)",Symphonic Poem,Antonín Dvořák,1896,Romantic,Czech Republic,6
509,"Orgelbüchlein (Little Organ Book), BWV 599−644",Organ,Johann Sebastian Bach,1717,Baroque,Germany,6
510,"Dixit Dominus, RV 595",Choral orchestral,Antonio Vivaldi,-1,Baroque,Italy,6
511,"Dixit Dominus, RV 594",Choral orchestral,Antonio Vivaldi,-1,Baroque,Italy,6
