Song,Pc1,Pc2,Color
Adaptation,0.37599689711017026,-0.21292751919449981
Blinding Lights,1.0310961768725118,0.04577356162929947
Call Out My Name,0.36067870851465467,0.07070487122089818
Can't Feel My Face,0.5432784071752601,-0.25913704930167725
Can't Feel My Face - Martin Garrix Remix,0.5207244042891046,0.09595643716193146
Dark Times,0.6259373638437827,-0.22924111900154953
Die For You,0.6772441362445875,0.013014426290977162
Echoes Of Silence,0.19389925456452015,0.2503972913415698
Gone,0.41322190994794483,0.09653740443459444
Heartless,0.993543020128925,-0.07387534424001171
Hurt You,0.6239447104259012,0.029037879516025166
I Feel It Coming,0.46099612260289546,0.10511281040873036
I Was Never There,0.19538757064652143,0.07528711174888875
Losers,0.33632959680287183,0.04398950800197919
Often,0.6770363820738383,-0.17907889974708052
Often - Kygo Remix,0.28328661392469034,0.11983667895286984
Pray For Me (with Kendrick Lamar),0.47145332287126906,0.15539684139157672
Prisoner,0.6140005514066358,-0.025904107064503683
Privilege,0.06540816147560573,-0.28524492248458494
Same Old Song,0.41640602540664334,0.3042666024513997
Secrets,0.5085543378436796,0.18025316961601856
Sidewalks,0.7393900367149207,-0.0406649833634572
Six Feet Under,0.6708869167869427,0.05504833877722129
Starboy,1.0430110873053255,0.055309557498604243
Starboy - Kygo Remix,-1.0661993634848123e-07,0.4954620131063652
Tears In The Rain,0.6558806258418776,-0.021512082264047522
Tell Your Friends,0.2785306487379983,0.14114302152766817
The Hills,0.5902359124856397,-0.14175822359623447
The Hills - RL Grime Remix,0.5685691683587281,-0.09288498470099713
The Morning,0.5633444288279772,-0.10821690249896693
The Party & The After Party,1.0277427551152065,-0.14035066072118121
The Zone,0.6396048878253038,0.2610582796269314
Till Dawn (Here Comes The Sun),0.3446743045587241,0.05927383434170631
True Colors,0.2859798698928165,-0.059612850331484404
Try Me,0.07360042586044738,-0.11170678903385318
Twenty Eight,0.5658436528610141,-0.08095922911970299
Valerie,0.6832046405696232,0.12568027860415307
Wasted Times,0.25736764765300413,0.006616293152677285
